,ID,metro_kremlin,house_kremlin,sq,floor,height,price,deposit,rooms,child,animal,euro,design,cosmetic,no_rem,area_code_skl,type_h_skl
13249,269737812,8.752,9.669,75.0,10,10,80000,70000,2.0,1,1,1,0,0,0,7.0,3.0
9000,274970506,13.703,6.682,72.0,7,14,80000,80000,3.0,1,0,1,0,0,0,0.0,1.0
7803,271673972,15.291,15.192,48.0,4,16,80000,80000,2.0,1,0,0,0,0,0,4.0,5.0
199,268903569,12.969,12.969,87.0,14,17,80000,80000,3.0,1,0,0,0,0,0,3.0,5.0
11110,272762898,8.242,10.004,86.0,7,9,80000,80000,3.0,1,0,0,0,0,0,8.0,1.0
16183,270504065,9.894,8.882,65.0,11,16,80000,80000,3.0,1,0,0,0,0,0,4.0,5.0
5927,274501671,5.189,4.183,90.0,4,7,80000,85000,3.0,1,1,1,0,0,0,9.0,4.0
15237,273961995,16.496,17.605,90.0,4,5,80000,80000,3.0,1,0,1,0,0,0,4.0,1.0
16494,274848019,10.673,8.776,54.0,8,24,80000,80000,2.0,1,0,1,0,0,0,7.0,4.0
3673,274904088,8.863,7.984,59.0,25,25,80000,80000,2.0,0,1,0,0,0,0,0.0,5.0
12009,265221305,8.735,6.016,45.0,5,6,80000,80000,2.0,0,0,0,0,1,0,3.0,3.0
19216,274065318,11.789,11.789,100.0,2,22,80000,80000,4.0,1,1,0,0,1,0,1.0,5.0
101,274066192,2.224,2.027,52.0,11,24,80000,80000,2.0,1,0,0,0,0,0,6.0,5.0
3742,261119917,8.465,7.984,59.0,25,25,80000,80000,2.0,0,0,0,1,0,0,0.0,1.0
14906,272417934,6.896,6.896,69.0,18,35,80000,80000,2.0,1,1,0,0,0,0,7.0,3.0
8959,265656296,6.881,10.521,90.0,7,8,80000,80000,3.0,1,0,0,1,0,0,3.0,1.0
2706,274621881,1.294,2.919,69.0,7,8,80000,80000,3.0,1,0,0,0,0,0,6.0,1.0
15809,274881415,8.242,8.844,90.0,2,9,80000,80000,3.0,1,0,1,0,0,0,1.0,1.0
18855,244885548,10.477,10.363,90.0,8,9,80000,80000,3.0,0,0,0,0,1,0,3.0,1.0
2482,257480386,8.162,8.162,60.0,14,38,80000,85000,2.0,0,0,0,0,1,0,4.0,3.0
307,272817173,2.076,2.406,41.0,2,5,80000,80000,1.0,1,1,1,0,0,0,6.0,4.0
14374,270093894,7.699,7.935,78.0,15,17,80000,80000,3.0,0,0,0,0,0,0,8.0,5.0
8116,272946771,15.029,15.845,60.0,6,23,80000,80000,2.0,1,0,1,0,0,0,3.0,1.0
15721,274620907,5.255,5.45,90.0,5,11,80000,80000,3.0,1,1,0,0,0,0,7.0,1.0
17305,269795087,16.795,21.288,90.0,2,8,80000,80000,3.0,1,0,1,0,0,0,5.0,3.0
14949,274845730,9.294,9.294,69.0,7,9,80000,80000,2.0,0,0,1,0,0,0,7.0,3.0
11621,268509819,5.753,5.462,65.0,6,12,80000,80000,3.0,1,0,0,0,0,0,0.0,5.0
12942,274208035,8.735,8.735,83.0,6,8,80000,80000,3.0,1,1,0,0,0,0,3.0,1.0
8098,274218740,15.029,14.876,83.0,7,8,80000,80000,3.0,1,1,1,0,0,0,3.0,1.0
5483,273727460,6.499,6.142,81.0,12,14,80000,80000,3.0,1,0,1,0,0,0,4.0,1.0
6237,273035587,10.585,10.585,57.0,21,24,80000,80000,2.0,1,1,0,0,0,0,4.0,3.0
10963,274678086,3.602,3.542,57.0,7,9,80000,80000,2.0,1,0,1,0,0,0,1.0,1.0
15726,274905695,20.63,20.63,39.0,19,30,80000,80000,1.0,0,0,0,1,0,0,7.0,4.0
16267,274939815,6.881,6.881,57.0,28,47,80000,80000,2.0,0,0,1,0,0,0,4.0,3.0
12069,274964637,6.346,5.056,65.0,9,40,80000,80000,2.0,0,0,0,1,0,0,6.0,3.0
12708,273845825,20.777,20.777,79.0,23,23,80000,80000,3.0,1,0,1,0,0,0,1.0,4.0
15862,274173134,5.189,5.387,56.0,8,10,80000,80000,2.0,0,0,1,0,0,0,8.0,1.0
11682,270082554,5.753,5.462,65.0,6,12,80000,80000,3.0,1,1,1,0,0,0,0.0,5.0
574,274837943,8.7,8.7,64.0,12,12,80000,80000,3.0,1,0,1,0,0,0,9.0,5.0
573,273777834,8.7,8.703,64.0,5,9,80000,80000,3.0,1,0,1,0,0,0,9.0,4.0
15864,271900982,8.242,10.808,77.5,2,8,80000,80000,3.0,1,0,0,0,1,0,1.0,1.0
6722,273672717,15.235,12.942,64.0,6,33,80000,80000,2.0,1,1,1,0,0,0,1.0,4.0
19213,274995314,13.804,13.804,131.0,25,25,80000,40000,3.0,1,1,0,0,1,0,1.0,5.0
810,273031350,11.14,9.47,115.0,6,13,80000,80000,2.0,1,0,0,0,0,0,8.0,1.0
17299,274152476,12.898,22.408,114.0,7,12,80000,80000,3.0,1,1,0,0,0,0,3.0,1.0
14950,273891832,7.528,7.998,64.0,25,25,80000,80000,2.0,1,0,0,1,0,0,7.0,3.0
11817,247524854,11.095,11.095,80.0,19,25,80000,80000,3.0,1,0,1,0,0,0,1.0,3.0
5888,273786130,5.102,3.629,80.0,4,8,80000,80000,4.0,1,0,0,0,0,0,9.0,1.0
5926,274534708,6.906,3.629,80.0,4,8,80000,80000,4.0,1,0,0,0,1,0,9.0,1.0
4554,274739340,16.257,14.288,80.0,3,14,80000,80000,3.0,1,0,0,0,0,0,3.0,5.0
5080,274900787,14.849,13.063,80.0,12,15,80000,80000,3.0,1,0,1,0,0,0,9.0,1.0
7269,239389068,4.006,3.635,70.0,4,12,80000,80000,3.0,1,0,1,0,0,0,6.0,1.0
18856,274221046,10.477,10.035,60.2,9,9,80000,80000,3.0,1,1,0,0,1,0,3.0,4.0
18493,271733955,6.24,6.012,46.1,12,20,80000,80000,2.0,0,0,0,1,0,0,9.0,3.0
11221,274193253,11.095,9.285,74.0,4,8,80000,80000,3.0,1,0,0,0,0,0,1.0,1.0
8717,274744997,8.909,10.872,81.0,21,22,80000,80000,3.0,1,0,0,0,0,0,8.0,5.0
11620,273734895,5.753,6.657,82.0,9,14,80000,80000,2.0,1,0,1,0,0,0,0.0,4.0
15795,274488874,8.242,8.844,82.0,2,10,80000,80000,3.0,1,1,0,0,0,0,1.0,6.0
1743,271821054,10.882,31.83,82.0,13,19,80000,80000,3.0,1,1,1,0,0,0,4.0,4.0
18853,274252954,10.477,10.562,60.0,3,6,80000,80000,3.0,1,1,1,0,0,0,3.0,6.0
13567,167609721,10.883,9.98,61.0,13,25,80000,80000,2.0,1,1,0,1,0,0,1.0,4.0
10645,274697334,6.673,6.673,46.0,4,25,80000,80000,2.0,0,0,1,0,0,0,1.0,0.0
12917,274966073,6.881,6.881,67.0,4,34,80000,80000,2.0,0,0,1,0,0,0,3.0,3.0
11222,272600380,8.242,8.242,82.0,7,8,80000,80000,3.0,1,1,0,0,0,0,1.0,1.0
1874,269389745,11.973,11.61,80.5,6,17,80000,80000,3.0,1,0,1,0,0,0,4.0,3.0
11109,274593502,11.095,11.095,82.0,3,8,80000,40000,3.0,1,0,0,0,0,0,1.0,1.0
9568,274828692,23.561,25.08,96.4,2,9,80000,80000,3.0,1,0,1,0,0,0,8.0,3.0
727,271928631,14.849,6.712,96.0,4,5,80000,80000,3.0,1,0,0,0,0,0,9.0,1.0
10954,190004274,4.999,5.11,95.0,6,11,80000,80000,3.0,1,1,1,0,0,0,1.0,1.0
2196,271651387,12.569,13.034,71.0,8,26,80000,80000,2.0,1,1,0,0,0,0,3.0,3.0
2599,269441854,10.585,9.554,79.0,2,5,80000,80000,3.0,1,0,0,0,1,0,4.0,1.0
11067,274356918,6.686,6.352,79.0,11,12,80000,80000,2.0,1,0,0,0,0,0,1.0,1.0
812,273794711,10.393,8.405,79.0,7,17,80000,80000,3.0,1,0,1,0,0,0,9.0,5.0
2528,269608454,10.585,9.554,79.0,2,5,80000,80000,3.0,1,0,0,0,0,0,4.0,1.0
8642,272581398,9.898,9.898,63.2,25,32,80000,80000,2.0,1,0,1,0,0,0,8.0,3.0
10881,274693131,11.27,11.27,47.0,16,25,80000,80000,1.0,0,0,0,0,0,0,1.0,3.0
2737,274886907,2.454,3.205,55.9,4,9,80000,80000,3.0,1,1,1,0,0,0,6.0,1.0
18854,272799485,10.477,9.804,87.9,7,8,80000,80000,3.0,0,0,1,0,0,0,3.0,1.0
16328,268740647,13.445,12.939,78.0,13,17,80000,80000,3.0,1,0,0,0,0,0,4.0,5.0
12322,274181293,17.899,17.899,78.3,17,22,80000,80000,3.0,1,0,1,0,0,0,9.0,4.0
700,274494814,16.702,4.716,37.0,5,12,80000,80000,2.0,1,0,0,0,0,0,9.0,2.0
8887,274263497,16.881,6.859,37.0,19,29,80000,80000,2.0,1,0,0,0,0,0,4.0,3.0
10964,275000443,3.602,5.11,50.0,4,12,80000,80000,2.0,1,1,1,0,0,0,1.0,1.0
3767,274925816,8.863,7.984,75.0,19,25,80000,80000,3.0,1,0,0,0,1,0,0.0,4.0
7602,274729644,1.868,4.283,75.0,7,8,80000,80000,3.0,1,1,0,0,1,0,6.0,1.0
17112,274732927,3.074,2.673,56.0,4,12,80000,80000,2.0,0,0,1,0,0,0,6.0,1.0
7470,272826954,12.412,9.601,100.0,6,14,80000,80000,3.0,1,1,0,0,0,0,8.0,2.0
1394,264891052,10.673,11.183,100.0,16,18,80000,80000,3.0,1,0,1,0,0,0,6.0,5.0
15723,274266235,5.255,5.255,50.0,18,30,80000,80000,1.0,0,0,0,1,0,0,7.0,3.0
11820,274374935,11.095,10.514,77.0,6,17,80000,80000,3.0,1,0,1,0,0,0,1.0,5.0
2949,273939592,11.771,10.333,110.7,12,25,80000,80000,2.0,0,0,0,0,0,0,1.0,4.0
17300,273734894,10.914,20.824,110.0,5,5,80000,80000,3.0,1,1,1,0,0,0,5.0,3.0
3910,274110146,8.325,9.609,110.0,2,30,80000,80000,3.0,1,1,0,1,0,0,3.0,3.0
2197,268737094,12.569,13.034,70.0,8,26,80000,80000,2.0,1,1,1,0,0,0,3.0,0.0
8962,274720119,6.881,7.312,54.4,2,5,80000,80000,3.0,1,1,0,1,0,0,4.0,1.0
10993,271149172,4.999,4.428,98.0,4,8,80000,80000,3.0,1,0,0,0,1,0,1.0,1.0
7051,267741812,11.759,12.899,126.0,7,17,80000,80000,2.0,1,0,1,0,0,0,8.0,3.0
4555,163936825,15.029,13.654,120.0,13,17,80000,80000,4.0,1,0,0,0,1,0,3.0,5.0
18392,273606346,2.454,4.716,40.0,2,12,80000,80000,2.0,1,1,1,0,0,0,9.0,3.0
18675,274824818,4.647,4.647,70.0,14,14,80000,80000,3.0,1,1,0,0,1,0,4.0,5.0
13921,260979667,13.184,13.109,117.0,15,17,80000,85000,4.0,1,0,0,0,1,0,1.0,3.0
3809,235666305,8.735,9.609,110.0,2,30,80000,80000,2.0,0,0,1,0,0,0,3.0,1.0
16651,274661331,6.499,7.047,110.0,8,8,80000,80000,4.0,1,0,0,0,0,0,4.0,1.0
14557,238560353,12.992,12.992,94.0,15,18,80000,80000,3.0,1,0,0,1,0,0,0.0,3.0
12502,266506497,1.315,2.764,52.0,6,9,80000,80000,2.0,0,0,1,0,0,0,6.0,1.0
17815,274809343,15.235,15.008,55.0,10,18,80000,80000,2.0,1,0,1,0,0,0,8.0,3.0
11530,274456405,4.582,4.582,74.0,9,19,80000,80000,3.0,1,0,0,0,1,0,4.0,3.0
10059,274178527,8.486,8.486,160.0,4,22,80000,80000,4.0,1,1,0,0,1,0,5.0,3.0
1471,274985010,10.93,10.849,82.6,7,18,80000,80000,3.0,1,0,1,0,0,0,3.0,1.0
9821,274844703,20.51,8.488,57.6,5,10,80000,80000,2.0,1,1,1,0,0,0,1.0,5.0
19033,273571452,18.912,18.912,61.0,2,22,80000,80000,2.0,1,1,0,0,0,0,5.0,2.0
11065,272648469,5.433,5.11,55.0,3,12,80000,80000,2.0,0,0,0,0,0,0,1.0,6.0
8393,273494315,10.393,10.925,62.0,7,8,80000,80000,2.0,0,0,0,1,0,0,8.0,3.0
10626,274758775,6.673,8.45,67.0,13,14,80000,80000,2.0,1,0,0,0,0,0,6.0,5.0
15720,274930620,5.612,5.612,50.0,18,30,80000,80000,2.0,0,0,0,0,0,0,7.0,4.0
2041,199636503,14.322,14.322,50.0,18,28,80000,80000,2.0,1,0,1,0,0,0,5.0,3.0
16601,274668626,6.499,6.28,75.0,17,17,80000,80000,3.0,1,0,0,0,0,0,4.0,5.0
2717,193745060,2.501,1.977,56.0,6,8,80000,80000,2.0,1,0,1,0,0,0,6.0,1.0
8716,274477557,8.909,9.349,78.0,3,17,80000,80000,3.0,1,0,0,0,0,0,8.0,5.0
18966,273087995,17.309,17.309,50.0,21,22,80000,80000,1.0,1,1,0,1,0,0,5.0,3.0
9855,274750372,7.699,7.843,63.0,6,18,80000,80000,2.0,0,0,1,0,0,0,8.0,3.0
11755,274755053,11.095,11.757,54.0,9,24,80000,80000,2.0,1,1,1,0,0,0,1.0,3.0
2040,274455366,14.322,15.098,95.0,24,25,80000,80000,3.0,1,1,0,0,1,0,5.0,3.0
19217,273894097,13.515,13.515,95.0,18,25,80000,80000,3.0,1,0,1,0,0,0,1.0,5.0
19036,271385314,17.309,17.309,40.0,6,10,80000,80000,1.0,0,0,0,0,1,0,5.0,3.0
18494,274733915,5.787,4.779,50.0,9,16,80000,80000,2.0,0,0,1,0,0,0,9.0,0.0
7127,271127136,13.722,14.634,80.0,3,22,80000,80000,3.0,1,0,1,0,0,0,8.0,5.0
10884,271193018,11.26,11.696,80.0,4,23,80000,80000,2.0,0,0,1,0,0,0,1.0,3.0
6625,273842005,8.7,8.7,68.0,5,17,80000,80000,2.0,1,0,1,0,0,0,9.0,3.0
15727,274293795,5.255,5.255,55.0,13,30,80000,80000,2.0,1,0,0,1,0,0,7.0,3.0
10385,243160784,9.979,7.993,53.0,5,18,80000,80000,2.0,1,1,0,0,1,0,0.0,3.0
6582,163387857,8.7,8.7,83.0,12,26,80000,88000,2.0,1,1,1,0,0,0,9.0,3.0
11397,274667606,5.292,6.081,54.0,16,17,80000,80000,2.0,1,0,0,0,0,0,3.0,2.0
6146,274832635,2.641,2.641,30.0,8,9,80000,80000,1.0,0,1,0,1,0,0,6.0,3.0
15729,270876323,5.612,5.612,57.0,12,30,80000,80000,2.0,1,0,0,1,0,0,7.0,3.0
7126,274950035,13.722,14.634,80.0,3,22,80000,80000,3.0,1,0,1,0,0,0,8.0,5.0
5255,274181705,20.075,15.637,82.0,5,20,80000,80000,2.0,1,1,0,0,1,0,5.0,2.0
7293,274119580,2.466,4.218,68.0,15,19,80000,80000,2.0,1,1,0,0,0,0,6.0,3.0
19271,274994708,19.661,19.661,68.0,17,25,80000,80000,3.0,1,1,1,0,0,0,1.0,4.0
18781,274459146,12.569,12.569,67.7,3,9,80000,80000,2.0,1,0,1,0,0,0,3.0,1.0
15643,274900499,20.63,4.761,67.9,5,20,80000,80000,2.0,0,0,1,0,0,0,6.0,4.0
18025,274214677,12.515,15.097,67.0,13,21,80000,80000,3.0,1,0,1,0,0,0,4.0,4.0
6306,272961105,11.822,11.822,57.0,21,24,80000,95000,2.0,1,0,1,0,0,0,4.0,3.0
18782,203495792,12.569,12.131,43.0,8,23,80000,80000,2.0,0,0,0,1,0,0,3.0,4.0
10911,274140122,12.515,4.28,43.0,2,5,80000,80000,2.0,0,1,0,0,0,0,1.0,1.0
11223,172876721,8.242,9.255,53.0,22,28,80000,80000,1.0,0,0,1,0,0,0,8.0,1.0
2099,232951806,14.322,14.623,60.5,20,20,80000,80000,2.0,0,0,1,0,0,0,5.0,3.0
11555,152517573,4.582,5.747,64.9,9,9,80000,80000,3.0,1,0,1,0,0,0,3.0,1.0
6581,269660720,10.829,8.405,76.0,7,17,80000,80000,3.0,0,0,1,0,0,0,9.0,4.0
18779,272422805,12.569,12.569,76.0,5,25,80000,80000,3.0,1,0,0,0,0,0,3.0,5.0
11818,274749893,11.095,11.08,70.0,16,22,80000,80000,2.0,1,0,0,0,0,0,1.0,2.0
11657,273869005,3.487,6.209,70.0,11,22,80000,80000,2.0,0,1,0,1,0,0,0.0,3.0
19035,274797654,17.309,15.004,45.0,3,18,80000,80000,1.0,0,0,1,0,0,0,5.0,4.0
11567,272890134,6.881,6.657,77.0,9,15,80000,80000,2.0,1,0,1,0,0,0,0.0,1.0
11563,274952508,6.881,6.491,78.0,3,4,80000,40000,3.0,1,1,0,0,1,0,4.0,1.0
19215,274164108,13.515,15.612,120.0,1,4,80000,80000,4.0,1,1,0,0,0,0,1.0,1.0
18780,274428982,12.569,12.569,40.0,22,28,80000,80000,2.0,1,0,0,1,0,0,3.0,3.0
19130,273826455,13.804,15.682,70.0,6,25,80000,80000,3.0,0,0,1,0,0,0,1.0,5.0
15863,268460335,8.242,8.844,70.0,6,8,80000,30000,2.0,0,0,1,0,0,0,1.0,1.0
15518,274753862,10.914,10.914,70.0,5,9,80000,80000,3.0,1,0,1,0,0,0,0.0,1.0
16719,274473158,8.162,6.28,75.0,17,17,80000,80000,3.0,1,1,0,0,1,0,4.0,5.0
13409,273078493,10.405,10.405,59.4,17,18,80000,80000,2.0,1,1,1,0,0,0,8.0,3.0
7513,274979725,10.93,10.93,70.0,22,25,80000,80000,2.0,0,0,0,0,1,0,9.0,5.0
11681,270955486,5.753,5.706,75.0,3,17,80000,80000,3.0,1,0,1,0,0,0,0.0,5.0
14373,274979252,7.699,8.525,75.0,11,27,80000,80000,2.0,0,0,0,1,0,0,8.0,3.0
4911,274499466,13.703,13.703,45.0,9,16,80000,80000,1.0,1,0,0,1,0,0,7.0,3.0
8802,274406387,9.898,15.93,55.0,8,12,80000,80000,2.0,1,0,0,1,0,0,3.0,2.0
4633,169768705,15.029,14.507,121.0,4,8,80000,80000,3.0,1,0,0,1,0,0,3.0,0.0
11691,274632105,5.753,5.7,53.5,7,16,80000,80000,2.0,0,0,1,0,0,0,0.0,5.0
5871,274528710,4.006,5.288,53.0,2,3,80000,80000,1.0,0,0,0,1,0,0,9.0,1.0
132,274009456,2.224,2.027,53.0,11,24,80000,80000,2.0,0,0,1,0,0,0,6.0,4.0
1872,273687916,11.973,13.028,100.0,17,17,80000,80000,3.0,1,1,0,0,0,0,4.0,2.0
14010,274428877,13.184,13.184,100.0,2,22,80000,80000,4.0,1,0,1,0,0,0,1.0,5.0
728,274656437,14.849,4.716,40.0,2,12,80000,80000,2.0,1,1,1,0,0,0,9.0,3.0
19270,274970617,18.647,18.647,100.0,13,24,80000,80000,3.0,1,1,1,0,0,0,1.0,5.0
7321,274450978,3.621,4.218,70.0,15,20,80000,80000,2.0,1,1,0,1,0,0,6.0,3.0
11917,274683420,9.764,9.268,70.0,2,17,80000,80000,2.0,1,0,0,0,1,0,7.0,5.0
16654,274501125,8.162,8.162,75.0,17,17,80000,80000,3.0,1,0,0,0,1,0,4.0,5.0
12323,251806898,17.899,17.899,101.0,15,21,80000,80000,4.0,1,0,0,1,0,0,9.0,5.0
10627,273335988,8.348,9.068,45.0,10,16,80000,80000,2.0,1,0,1,0,0,0,1.0,3.0
2600,274000487,10.214,10.214,45.0,7,26,80000,80000,1.0,0,0,1,0,0,0,4.0,3.0
10646,274848393,6.673,8.45,65.0,14,18,80000,80000,2.0,0,0,1,0,0,0,1.0,4.0
11656,274552345,7.99,5.873,75.0,9,12,80000,80000,3.0,1,0,0,0,1,0,0.0,1.0
10598,274942799,6.673,6.673,50.0,8,31,80000,80000,2.0,1,0,1,0,0,0,1.0,3.0
6145,274952006,4.533,2.88,50.0,5,9,80000,80000,1.0,0,0,0,0,1,0,6.0,1.0
9237,274766616,14.563,14.563,100.0,18,41,80000,80000,3.0,1,1,1,0,0,0,9.0,3.0
2950,204562210,14.143,9.249,100.0,19,22,80000,80000,2.0,1,0,1,0,0,0,1.0,5.0
13683,274943876,9.384,9.384,45.0,2,5,80000,80000,2.0,1,1,1,0,0,0,1.0,5.0
16585,274019507,10.93,7.515,102.0,4,8,80000,80000,4.0,1,0,0,0,1,0,4.0,1.0
15730,273912632,20.63,5.88,42.0,10,30,80000,80000,1.0,0,0,0,1,0,0,7.0,3.0
10335,273764303,9.979,7.58,80.0,7,12,80000,80000,2.0,1,0,0,0,0,0,0.0,1.0
16381,273474834,13.445,12.939,74.1,13,17,80000,80000,3.0,1,0,1,0,0,0,4.0,5.0
3792,274840633,9.087,9.076,45.7,8,8,80000,80000,2.0,1,0,0,1,0,0,3.0,1.0
2435,272517458,13.113,12.407,84.0,11,17,80000,80000,3.0,1,0,1,0,0,0,9.0,5.0
657,274378802,8.7,9.207,84.0,18,22,80000,80000,3.0,1,0,1,0,0,0,9.0,0.0
4153,271582418,14.843,6.75,84.0,4,10,80000,80000,3.0,0,0,1,0,0,0,4.0,4.0
17385,274980940,4.582,4.813,84.0,2,8,80000,80000,3.0,1,1,1,0,0,0,3.0,1.0
16720,274350745,6.499,8.006,83.7,3,8,80000,80000,4.0,1,0,0,0,1,0,4.0,0.0
13226,274301518,8.752,9.669,74.0,10,10,80000,80000,2.0,0,0,1,0,0,0,7.0,3.0
1873,261356874,11.973,11.751,80.0,1,9,80000,60000,3.0,1,1,0,0,1,0,4.0,5.0
631,274296179,8.7,9.519,67.0,14,17,80000,80000,2.0,1,0,1,0,0,0,9.0,3.0
8938,272044779,9.894,9.894,68.9,1,4,80000,80000,4.0,1,0,1,0,0,0,4.0,1.0
2718,274556913,2.501,2.501,47.0,7,8,80000,80000,2.0,1,1,1,0,0,0,6.0,1.0
16182,273737997,6.881,8.013,47.0,3,22,80000,80000,2.0,0,1,0,0,0,0,4.0,3.0
10975,272656399,6.686,3.67,49.0,4,8,80000,80000,2.0,1,1,1,0,0,0,1.0,4.0
18714,273600403,4.647,4.647,40.0,22,28,80000,80000,2.0,1,0,0,0,0,0,3.0,3.0
10885,273063066,11.27,11.415,60.0,4,11,80000,80000,1.0,0,0,1,0,0,0,1.0,3.0
2489,273363923,10.214,10.214,52.4,9,25,80000,80000,2.0,1,0,0,1,0,0,4.0,3.0
18498,211492193,6.24,6.242,80.0,6,22,80000,80000,3.0,1,1,0,0,1,0,9.0,3.0
6825,273978251,14.143,14.143,88.0,5,17,80000,80000,3.0,1,0,1,0,0,0,1.0,3.0
18497,274831553,5.102,5.102,58.0,12,13,80000,80000,2.0,1,1,1,0,0,0,9.0,4.0
16716,274792798,6.499,6.28,75.0,16,17,80000,80000,3.0,1,1,0,0,1,0,4.0,5.0
18496,274981351,5.102,4.716,44.0,8,12,80000,20000,2.0,1,1,0,1,0,0,9.0,3.0
5872,266512894,6.155,5.27,38.0,7,11,80000,80000,2.0,0,0,0,1,0,0,9.0,3.0
14372,274601994,7.699,8.159,80.0,3,14,80000,80000,3.0,1,1,0,0,0,0,8.0,5.0
811,274597317,12.412,5.288,53.0,2,3,80000,80000,1.0,1,0,0,0,0,0,9.0,1.0
10599,272552398,6.673,6.673,55.0,7,21,80000,80000,2.0,1,1,1,0,0,0,1.0,3.0
133,274723871,2.224,1.831,53.0,5,24,80000,80000,2.0,1,0,1,0,0,0,6.0,5.0
2716,232877945,3.085,0.808,42.0,3,5,80000,80000,1.0,0,0,0,0,1,0,6.0,1.0
2720,274286896,1.56,2.253,65.0,1,5,80000,40000,2.0,1,1,1,0,0,0,6.0,1.0
6280,246946623,11.822,10.697,62.0,8,17,80000,80000,2.0,1,1,1,0,0,0,4.0,4.0
14971,244045783,7.504,7.504,62.0,7,9,80000,90000,2.0,1,0,0,1,0,0,7.0,1.0
3561,273824715,3.602,9.068,44.0,8,16,80000,80000,2.0,0,0,0,1,0,0,1.0,3.0
9820,274654802,7.699,8.812,80.0,2,8,80000,80000,3.0,1,1,1,0,0,0,1.0,1.0
12747,274089239,19.661,29.295,80.0,9,17,80000,80000,3.0,1,0,0,1,0,0,1.0,5.0
16717,274832868,6.499,6.28,75.0,17,17,80000,80000,3.0,1,0,0,0,1,0,4.0,5.0
11118,272724704,9.898,10.004,86.0,7,9,80000,80000,3.0,1,0,1,0,0,0,1.0,4.0
18495,273062328,3.686,3.686,42.0,10,15,80000,80000,2.0,1,0,0,1,0,0,9.0,2.0
15865,270430791,7.699,7.864,58.4,4,9,80000,80000,2.0,0,0,0,0,1,0,1.0,1.0
16652,271003651,8.162,6.175,55.0,8,10,80000,80000,2.0,0,0,0,0,0,0,4.0,1.0
14907,274026726,7.528,7.528,62.0,7,9,80000,80000,2.0,1,0,0,0,0,0,7.0,3.0
14011,274215299,13.184,13.441,80.0,16,22,80000,40000,3.0,1,1,0,0,1,0,1.0,5.0
10413,273474333,9.684,7.58,80.0,7,12,80000,80000,2.0,1,0,0,1,0,0,0.0,3.0
17111,274838470,1.661,3.832,60.0,8,12,80000,80000,2.0,1,1,0,1,0,0,6.0,1.0
18676,223037781,4.647,3.829,60.0,3,5,80000,80000,2.0,0,0,1,0,0,0,6.0,1.0
11658,233504364,5.753,6.719,48.7,5,12,80000,80000,2.0,1,0,0,1,0,0,0.0,5.0
2679,274940939,1.294,3.181,40.0,2,8,80000,80000,1.0,1,0,1,0,0,0,6.0,4.0
2651,269092230,1.294,3.181,40.0,2,8,80000,80000,1.0,1,0,0,0,0,0,6.0,1.0
12010,243961473,7.772,7.384,33.0,3,15,80000,80000,2.0,0,0,0,1,0,0,3.0,3.0
10412,270879572,7.99,7.99,58.0,4,9,80000,80000,2.0,0,0,0,1,0,0,0.0,1.0
12943,264924610,8.735,8.019,62.0,12,12,80000,80000,2.0,0,0,0,0,0,0,3.0,1.0
8937,274395034,9.894,7.367,80.0,4,8,80000,80000,3.0,1,0,1,0,0,0,3.0,0.0
13589,274940932,9.384,9.886,80.0,7,22,80000,80000,3.0,1,1,1,0,0,0,1.0,5.0
18240,274459000,20.432,20.52,80.0,1,5,80000,80000,3.0,0,0,1,0,0,0,7.0,4.0
15796,272812313,5.973,8.577,80.0,3,9,80000,80000,3.0,0,0,1,0,0,0,1.0,4.0
15780,274251154,5.255,8.577,80.0,3,9,80000,80000,3.0,1,0,1,0,0,0,1.0,1.0
6179,272337643,1.868,10.697,66.4,7,19,80000,80000,2.0,1,0,0,1,0,0,4.0,4.0
3674,274754571,7.46,8.498,66.0,24,24,80000,80000,2.0,1,1,0,0,0,0,0.0,5.0
14375,272391477,7.699,6.713,54.0,17,39,80000,80000,1.0,0,0,0,1,0,0,8.0,4.0
5729,202483044,12.969,5.684,74.0,7,17,80000,80000,3.0,1,0,1,0,0,0,7.0,5.0
18540,274121521,4.647,4.139,66.0,5,16,80000,80000,3.0,1,0,1,0,0,0,6.0,4.0
17457,274878695,5.292,4.824,60.0,4,5,80000,80000,3.0,1,0,1,0,0,0,6.0,1.0
13823,265170438,16.715,16.715,40.0,24,25,80000,80000,1.0,0,0,0,1,0,0,9.0,3.0
11819,274790618,11.095,11.688,72.7,7,16,80000,80000,3.0,1,1,0,0,1,0,1.0,5.0
18601,271753482,4.647,4.886,72.2,6,10,80000,80000,2.0,1,0,1,0,0,0,4.0,3.0
12709,274570169,20.777,20.777,85.1,8,17,80000,80000,3.0,1,0,0,0,1,0,1.0,5.0
6279,274010142,10.585,11.379,85.0,8,17,80000,80000,3.0,1,1,1,0,0,0,4.0,3.0
2719,269884518,2.454,2.919,68.7,7,8,80000,80000,3.0,1,0,1,0,0,0,6.0,1.0
10283,272394166,17.4,8.55,60.0,4,10,80000,80000,2.0,1,0,1,0,0,0,0.0,3.0
2860,269114454,14.143,9.903,88.0,14,23,80000,80000,3.0,1,0,1,0,0,0,1.0,3.0
3909,274662258,10.477,8.787,85.0,15,16,80000,80000,3.0,1,0,1,0,0,0,5.0,1.0
11068,272266580,4.999,3.742,87.0,8,15,80000,80000,3.0,0,0,0,0,0,0,1.0,6.0
5484,252623864,6.499,7.081,88.0,2,16,80000,80000,2.0,1,0,0,1,0,0,4.0,5.0
